Receta,Vegano,Res,Pescado,Cerdo,Pollo,Pavo,Frito,Cocido,Horneado,Ahumado,Picante,Dulce,Salado,Frutas,Verduras,Lacteos,Pasta,Harina,Huevo,Semillas,Bebida
Burrito-Res,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0
Ginataag Kalabasa - Calabaza en leche de coco,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
Tabouleh,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
Salsa marron,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0
Filetes de puerco marinados,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
Cacio e Pepe,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0
Galletas con chispas de chocolate,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0
Jitomates rellenos,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0
Ramen,0,1,0,1,1,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0
Pavo ahumado,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
Ensalada de Papa,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
Filete al infierno,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
Pasta Alla Norma,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0
Mazurek,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,1,0
Arroz Chaufa,0,0,0,1,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0
Zarangollo,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0
Flammkuchen,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0
Pollo traybake con limon y oregano,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Party Mimosa,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
Tiras de pollo fritas,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,1,1,0,0
Carbonara,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0
Arroz Blanco,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
Pasta con cerdo,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0
Canelones a la mexicana,0,1,0,0,0,0,1,1,1,0,0,0,1,0,1,1,0,1,0,0,0
Pasta al Horno a la Mexicana,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0
Tortitas de atun,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0
Pozole verde,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,1,0
Noodles con verduras,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
Tortitas de avena,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0
Helado de fresa con avena,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
Pollo con spaguetti,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,1,1,0,0,0,0
Ensalada de elote y mango,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0
Caldo tlalpeno,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0
Chile relleno,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,1,1,0,0
Tacos de pollo,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0
Calabacitas rellenas,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0
Brownies de chocolate con nueces y avellanas,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,1,0
Pan marmol,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0
Pan de castanas y maiz,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0
Camelado,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1
Milanesas,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0
Ensalada Tailandesa,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
Tortilla de papas,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Almejas a la marinera,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0
Flan de galletas,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0
Hot dogs,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0
Camarones a la diabla,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
Torta de tamal,0,1,0,1,1,0,0,1,0,0,1,0,1,0,1,1,0,1,1,1,0
Pizza hawaiana,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,0,1,1,0,0
Sushi,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
